,StockCode,Volume
0,ABB,0.88x
1,ACC,0.5x
2,ADANIENT,0.47x
3,ADANIGREEN,0.42x
4,ADANIPORTS,0.55x
5,ATGL,0.29x
6,ADANITRANS,0.25x
7,AWL,0.42x
8,AMBUJACEM,0.48x
9,APOLLOHOSP,1.29x
10,ASIANPAINT,0.81x
11,DMART,0.36x
12,AXISBANK,1.15x
13,BAJAJ-AUTO,0.71x
14,BAJFINANCE,0.54x
15,BAJAJFINSV,0.68x
16,BAJAJHLDNG,0.62x
17,BANKBARODA,0.66x
18,BERGEPAINT,1.01x
19,BEL,0.37x
20,BPCL,0.62x
21,BHARTIARTL,1.43x
22,BOSCHLTD,0.44x
23,BRITANNIA,0.65x
24,CANBK,1.24x
25,CHOLAFIN,0.88x
26,CIPLA,0.74x
27,COALINDIA,0.44x
28,COLPAL,0.65x
29,DLF,0.6x
30,DABUR,1.07x
31,DIVISLAB,0.43x
32,DRREDDY,1.15x
33,EICHERMOT,0.59x
34,NYKAA,1.28x
35,GAIL,0.58x
36,GODREJCP,1.28x
37,GRASIM,0.69x
38,HCLTECH,0.65x
39,HDFCAMC,0.27x
40,HDFCBANK,1.08x
41,HDFCLIFE,5.44x
42,HAVELLS,0.6x
43,HEROMOTOCO,1.6x
44,HINDALCO,0.39x
45,HAL,0.43x
46,HINDUNILVR,1.25x
47,HDFC,0.78x
48,ICICIBANK,1.2x
49,ICICIGI,1.48x
50,ICICIPRULI,1.35x
51,ITC,0.62x
52,IOC,1.0x
53,IRCTC,0.69x
54,INDUSTOWER,1.07x
55,INDUSINDBK,2.22x
56,NAUKRI,0.68x
57,INFY,0.82x
58,INDIGO,0.36x
59,JSWSTEEL,0.53x
60,KOTAKBANK,0.57x
61,LTIM,0.58x
62,LT,0.64x
63,LICI,0.43x
64,M&M,0.6x
65,MARICO,1.4x
66,MARUTI,1.38x
67,MUTHOOTFIN,0.91x
68,NTPC,0.76x
69,NESTLEIND,0.9x
70,ONGC,0.68x
71,PIIND,0.96x
72,PAGEIND,0.81x
73,PIDILITIND,0.54x
74,POWERGRID,0.55x
75,PGHH,0.28x
76,RELIANCE,0.92x
77,SBICARD,1.33x
78,SBILIFE,1.38x
79,SRF,0.4x
80,MOTHERSON,1.0x
81,SHREECEM,0.95x
82,SIEMENS,0.55x
83,SBIN,1.12x
84,SUNPHARMA,1.86x
85,TCS,0.73x
86,TATACONSUM,4.51x
87,TATAMOTORS,0.66x
88,TATAPOWER,0.55x
89,TATASTEEL,0.79x
90,TECHM,0.8x
91,TITAN,1.24x
92,TORNTPHARM,1.68x
93,UPL,0.79x
94,ULTRACEMCO,1.57x
95,MCDOWELL-N,0.92x
96,VBL,1.2x
97,VEDL,0.33x
98,WIPRO,2.34x
99,ZOMATO,1.01x
