,StockCode,MarkMinerviTemplate,Volume,MA-Signal,Pattern
0,ADANIENT,No,1.53x,Bearish,
1,ADANIPORTS,No,1.04x,Bearish,
2,APOLLOHOSP,No,1.54x,50MA-Support,
3,ASIANPAINT,No,1.15x,50MA-Support,
4,AXISBANK,No,1.23x,50MA-Support,
5,BAJAJ-AUTO,No,0.99x,Bullish,
6,BAJFINANCE,No,1.35x,50MA-Support,
7,BAJAJFINSV,No,2.06x,50MA-Support,
8,BPCL,No,1.04x,Bullish,
9,BHARTIARTL,No,1.54x,200MA-Support,3 Outside Up
10,BRITANNIA,No,1.57x,50MA-Support,
11,CIPLA,No,1.15x,BearCross-50MA,Bearish Engulfing
12,COALINDIA,No,0.9x,Bearish,
13,DIVISLAB,No,0.41x,Bearish,
14,DRREDDY,No,0.68x,Bullish,
15,EICHERMOT,No,0.61x,200MA-Support,
16,GRASIM,No,1.05x,200MA-Support,
17,HCLTECH,No,0.85x,50MA-Resist,
18,HDFCBANK,No,0.79x,Bullish,
19,HDFCLIFE,No,0.89x,200MA-Resist,
20,HEROMOTOCO,No,1.44x,Bearish,
21,HINDALCO,No,0.95x,200MA-Support,
22,HINDUNILVR,No,2.38x,50MA-Resist,3 Outside Down
23,HDFC,No,1.21x,Bullish,
24,ICICIBANK,No,0.72x,Bearish,
25,ITC,No,1.27x,Bullish,
26,INDUSINDBK,No,0.63x,200MA-Support,
27,INFY,No,0.98x,Bearish,
28,JSWSTEEL,No,1.13x,Bullish,
29,KOTAKBANK,No,1.24x,Bearish,
30,LT,No,1.49x,Bullish,
31,M&M,No,1.06x,50MA-Resist,
32,MARUTI,No,0.85x,50MA-Support,
33,NTPC,No,1.87x,50MA-Resist,
34,NESTLEIND,No,1.97x,Bearish,
35,ONGC,No,1.15x,50MA-Support,
36,POWERGRID,No,1.08x,Bullish,
37,RELIANCE,No,1.16x,50MA-Support,
38,SBILIFE,No,1.33x,50MA-Support,
39,SBIN,No,0.72x,200MA-Support,
40,SUNPHARMA,No,1.0x,50MA-Support,3 Outside Up
41,TCS,No,1.19x,50MA-Resist,
42,TATACONSUM,No,0.87x,200MA-Resist,
43,TATAMOTORS,No,0.81x,Bullish,
44,TATASTEEL,No,1.03x,50MA-Support,
45,TECHM,No,2.24x,200MA-Resist,
46,TITAN,No,1.83x,Bearish,
47,UPL,No,1.37x,50MA-Support,
48,ULTRACEMCO,No,1.38x,50MA-Support,
49,WIPRO,No,3.19x,50MA-Support,
